breachyear,count,sumind
2010,57,908813
2011,60,5068664
2012,75,1640747
2013,83,576895
2014,132,2721049
2015,102,92462446
2016,98,3764935
2017,111,1970425
2018,121,2074190
2019,153,5473370
2020,179,4382818
2021,229,15882651
2022,206,10920286
2023,204,17409268
